"Name","Address","City_State_ZIP","Country","URL","long","lat"
"A'Roma Roasters","95 Fifth St.","Santa Rosa, CA 95401","United States","http://www.aromaroasters.com/",-122.721245,38.438105
"Acme Coffee Roasting Company","485-B Palm Ave.","Seaside, CA 93955","United States","http://acmecoffeeroasting.com/",-121.8526,36.608587
"Adam's Organic Coffees","260 Oak Street","Oakland, CA 94607","United States","http://www.adamsorganiccoffees.com/",-122.267757,37.79319
"Allegro Coffee","12799 Claude Court, Building B, Dock 4","Thornton, CO 80241","United States","http://www.allegrocoffee.com/",-104.961337,39.928996
"Alta Organic Coffee & Tea Co.","133 Marine View Ave","Davenport, CA 95017","United States","http://www.altaorganiccoffee.com/",-122.192647,37.011999
"Alta Organic Coffee & Tea Company","133 Marine View Ave.","Davenport, CA 95017","United States","http://altaorganiccoffee.com/",-122.192647,37.011999
"Alvin's of San Francisco","385 Beach Rd","Burlingame, CA 94010","United States","http://www.alvinsofsf.com/",-122.335539,37.588269
"America's Best Coffee","1500 Davidson Avenue, Suite A","San Francisco, CA 94124","United States","None",-122.38976,37.744673
"Andytown Coffee Roasters","3655 Lawton St.","San Francisco, CA 94122","United States","http://www.andytownsf.com/",-122.501839,37.756781
"Apffels","12115 Pacific Street","Santa Fe Springs, CA 90670","United States","http://www.apffels.com/",-117.988911,33.80715
"Arabica Coffee House","7221 W College Ave.","Palos Heights, IL 60463","United States","None",-87.798247,41.675224
"Barefoot Coffee Roasters","2475 De La Cruz Blvd.","Santa Clara, CA 95050","United States","http://www.barefootcoffeeroasters.com/",-121.941454,37.365999
"Barrington Coffee Company","364 Congress St.","Boston, MA 02210","United States","http://www.barringtoncoffee.com/",-71.048208,42.350197
"Battery Street Coffee Roastery","950 Battery St.","San Francisco, CA 94111","United States","None",-122.400946,37.798446
"Bay Blend Coffee & Tea","1905 Mission St.","San Francisco, CA 94103","United States","None",-122.419745,37.766612
"Bean Bag Coffee House","601 Divisadero Street","San Francisco, CA 94117","United States","None",-122.437799,37.774992
"Bean Street Coffee","359 S B St","San Mateo, CA 94401","United States","None",-122.321921,37.565101
"Beanery Coffee Company","1307 9th Avenue","San Francisco, CA 94122","United States","None",-122.466379,37.763918
"Beanery, Inc.","2925 College Ave.","Berkeley, CA 94705","United States","None",-122.253103,37.85792
"Bittersweet","2332 4th Street, Suite E","Berkeley, CA 94710","United States","http://www.bittersweetcafe.com/",-122.298338,37.862489
"Blue Bottle Coffee Co.","300 Webster St.","Oakland, CA 94607","United States","http://www.bluebottlecoffee.net/",-122.273118,37.796501
"Blue Bridge Coffee","1019 C Ave.","Coronado, CA 92118","United States","http://www.bluebridgecoffee.com/",-117.178683,32.685194
"Borders","100 Phoenix Drive","Ann Arbor, MI 48108","United States","http://www.bordersstores.com/",-83.728243,42.233677
"Bow Truss Coffe Roasters","2934 N Broadway","Chicago, IL 60657","United States","http://bowtruss.com/",-87.644329,41.935923
"Boyds Coffee","19730 NE Sandy Blvd.","Portland, OR 97230","United States","http://www.boyds.com/",-122.460204,45.545139
"Café Abir","1300 Fulton St.","San Francisco, CA 94117","United States","None",-122.438177,37.776855
"Cafe Bello","2885 Diamond St.","San Francisco, CA 94131","United States","None",-122.433947,37.733911
"Café Descartes","4771 N. Lincoln Ave.","Chicago, IL 60625","United States","http://www.cafedescartes.com/",-87.688155,41.968212
"Café Venetia","419 University Ave.","Palo Alto, CA 94301","United States","None",-122.160245,37.447376
"Cafe XO","1799 Church Street","San Francisco, CA 94131","United States","http://www.cafexo.com/",-122.426518,37.742098
"Caffé Central","133 O'Farrell St.","San Francisco, CA 94102","United States","None",-122.47611,37.720051
"Caffé D'arte","719 S. Myrtle St.","Seattle, WA 98108","United States","http://www.caffedarte.com/",-122.324858,47.539326
"Caffe D'Melanio","1314 Ocean Ave.","San Francisco, CA 94112","United States","http://www.caffemelanio.com/",-122.456637,37.7241
"Caffe Ladro","501 2nd Ave. W, Ste 200","Seattle, WA 98119","United States","http://www.caffeladro.com/",-122.359334,47.623284
"Caffé Malvina","1600 Stockton Street","San Francisco, CA 94133","United States","http://www.cityinsights.com/sanfran/caffemalvina.htm",-122.40919,37.800445
"Caffè Roma","885 Bryant St.","San Francisco, CA 94103","United States","http://www.cafferoma.com/",-122.404214,37.774704
"Caffe Trieste","1465 25th St.","San Francisco, CA 94107","United States","http://www.caffetrieste.com/",-122.392915,37.752448
"Caffè Umbria","6020 Airport Way S.","Seattle, WA 98108","United States","http://www.caffeumbria.com/",-122.316792,47.549221
"Caffé Vita Coffee Roasting Co.","1005 East Pike St.","Seattle, WA 98122","United States","http://www.caffevita.com/",-122.319411,47.614008
"Cantata Coffee Company","1708 Haight St.","San Francisco, CA 94117","United States","None",-122.450316,37.769649
"Capricorn Coffee","353 10th Street","San Francisco, SF 94103","United States","http://www.capricorncoffees.com/",-122.4147,37.7725
"Caribbean Coffee Company","495 Pine Ave., Ste. A","Goleta, CA 93117","United States","http://www.caribbeancoffee.com/",-119.837176,34.435438
"Carmel Valley Roasting Company","319 Mid Valley Center","Carmel, CA 93923","United States","http://www.carmel-coffee.com/",-121.915401,36.562979
"Cartel Coffee Lab","225 W. University Dr.","Tempe, AZ 85281","United States","http://www.cartelcoffeelab.com/",-111.942954,33.421864
"Cass Coffee","58 Furneaux Lane","Hilo, HI 96720","United States","http://www.casscoffee.com/",-155.085868,19.723926
"Chatz Roasting Company","4221 Brew Master Drive, Ste. 13","Ceres, CA 95307","United States","http://www.chatz.com/",-120.9794,37.577254
"Chestnut Street Coffee Roastery","2331 Chestnut St","San Francisco, CA 94123","United States","None",-122.441569,37.800051
"Chromatic Coffee Co.","19 North Second St.","San Jose, CA 95113","United States","http://www.chromaticcoffee.com/",-121.889351,37.336297
"City Blend Cafe","3087 16th St.","San Francisco, CA 94103","United States","None",-122.421515,37.764938
"Club Caffeine","4330 Redwood Highway, Suite 200","San Rafael, CA 94903","United States","http://www.clubcaffeine.net/",-122.541282,38.014073
"Coastal Peaks Roasters","3566 South Higuera","San Luis Obispo, CA 93401","United States","http://www.coastalpeaksroasters.com/",-120.670582,35.251832
"Coava Coffee Roasters","1300 SE Grand Ave.","Portland, OR 97214","United States","http://coavacoffee.com/",-122.660767,45.513662
"Coffee Bean & Tea Leaf, The","1945 So. La Cienega Blvd.","Camarillo, CA 90034","United States","http://www.coffeebean.com/",-118.376675,34.041571
"Coffee Bean International","2181 N.W. Nicolai Street","Portland, OR 97210","United States","http://www.coffeebeanintl.com/",-122.697931,45.541075
"Coffee Cat","255 Mt. Hermon Rd.","Scotts Valley, CA 95066","United States","None",-122.028041,37.045951
"Coffee Magic","46 Vienna St.","San Francisco, CA 94112","United States","http://www.coffeemagic.net/",-122.424819,37.727844
"Coffee Tea & Spice","1630 Haight St.","San Francisco, CA 94117","United States","None",-122.449076,37.769642
"Coffee to the People","1206 Masonic Ave.","San Francisco, CA 94117","United States","http://www.coffeetothepeople.com/",-122.445262,37.770163
"Connoisseur Coffee Company","2801 Middlefield Rd.","Redwood City, CA 94063","United States","http://www.connoisseurcoffeeco.com/",-122.210195,37.475864
"Contraband Coffee","1415 Larkin St.","San Francisco, CA 94109","United States","None",-122.419131,37.790907
"Counter Culture Coffee","4911 South Alston Ave.","Durham, NC 27713","United States","http://counterculturecoffee.com/",-78.888938,35.894128
"Cumaica Coffee","1398 Mission St.","San Francisco, CA 94103","United States","http://cumaica.com/",-122.415908,37.775272
"Cuvee Coffee Roasting Company","22601 State Highway 71 West","Spicewood, TX 78669","United States","http://cuveecoffee.com/",-98.07821,30.373224
"De La Paz Coffee","200 Guerrero St.","San Francisco, CA 94103","United States","http://www.delapazcoffee.com/",-122.424412,37.768005
"Distant Lands Coffee","11754 State Hwy 64 West","Tyler, TX 75704","United States","http://www.javatradingco.com/",-95.360701,32.357553
"DOMA Coffee Roasting Company","538 South Rainbow Road","Coeur d'Alene, ID 83814","United States","http://www.domacoffee.com/",-116.905815,47.695216
"Double Team Coffee","P.O. Box 3055","Daly City, CA 94015","United States","http://www.double-team.com/",-122.475234,37.676864
"Due Torri Coffee","910 81st Ave., Ste 15","Oakland, CA 94621","United States","http://www.duetorricoffee.com/",-122.19229,37.749743
"Ecco Caffe","90 Timothy Rd.","Santa Rosa, CA 95407","United States","http://www.eccocaffe.com/",-122.722258,38.428445
"El Cafetazo","3087 16th St.","San Francisco, CA 94103","United States","None",-122.421515,37.764938
"Emporio Rulli Il Caffé","464 Magnolia Ave.","Larkspur, CA 94939","United States","http://www.rulli.com/",-122.535461,37.935369
"Equator Estate Coffees","115 Jordan St.","San Rafael, CA 94901","United States","http://www.equatorcoffees.com/",-122.523783,37.966544
"Espresso Roma","1549 Hopkins Street","Berkeley, CA 94707","United States","http://www.espressoroma.com/",-122.282284,37.881451
"Espresso Vivace Roasteria","532 Broadway Ave. E","Seattle, WA 98102","United States","http://www.espressovivace.com/",-122.321028,47.625111
"Estate Coffee","2700 Garden Rd. A2","Monterey, CA 93940","United States","http://www.estatecoffee.net/",-121.851422,36.585677
"Eureka Coffee","2747 19th St.","San Francisco, CA 94110","United States","None",-122.409385,37.760441
"Farmer Brothers Coffee","20333 S. Normandie Ave.","Torrance, CA 90502","United States","http://www.farmerbroscousa.com/",-118.299129,33.846186
"First Colony","204-222 West 22nd Street","Norfolk, VA 23517","United States","http://www.firstcolonycoffee.com/",-76.286413,36.868729
"Flying Goat Coffee","324 Center St.","Healdsburg, CA 95448","United States","http://www.flyinggoatcoffee.com/",-122.869529,38.611293
"Flywheel Coffee Roasters","672 Stanyan St.","San Francisco, CA 94117","United States","http://www.flywheelcoffee.com/",-122.453583,37.769682
"Fonté Coffee","5412 6th Ave. South","Seattle, WA 98108","United States","http://www.fontecoffee.com/",-122.326809,47.554033
"Four Barrel Coffee","375 Valencia St.","San Francisco, CA 94103","United States","None",-122.422019,37.766984
"Gavina Gourmet Coffee","2700 Fruitland Ave.","Vernon, CA 90058","United States","http://www.gavina.com/",-118.222377,33.996369
"Gaylord Caffe Espresso","4150 Piedmont Ave.","Oakland, CA 94611","United States","None",-122.251846,37.827037
"George Howell Coffee","312 School St.","Acton, MA 01720","United States","http://www.georgehowellcoffee.com/",-71.414116,42.468975
"Gloria Jean's Coffees","28 Executive Park","Irvine, CA 92614","United States","http://www.gloriajeans.com/",-117.86026,33.685753
"Graffeo","735 Columbus Ave.","San Francisco, CA 94113","United States","http://www.graffeo.com/",-122.41193,37.80151
"Green Star Coffee","6489 Calle Real","Santa Barbara, CA 93117","United States","http://www.greenstarcoffee.com/",-119.85227,34.440172
"Heart Coffee Roasters","2211 E Burnside St.","Portland, OR 97214","United States","http://www.heartroasters.com/",-122.643392,45.522948
"Hearth Coffee Roasters","1131 Taraval St.","San Francisco, CA 94116","United States","http://hearthcoffee.com/",-122.478091,37.742867
"Herkimer Coffee","7320 Greenwood Ave. N.","Seattle, WA 98103","United States","http://www.herkimercoffee.com/",-122.35523,47.681956
"Hilo Coffee Mill","17-995 Volcano Highway","Mountain View, HI 96771","United States","http://hilocoffeemill.com/",-155.098889,19.558417
"Honolulu Coffee Company","2365 Kalakaua Ave.","Honolulu, HI 96814","United States","http://www.honolulucoffee.com/",-157.826818,21.277063
"House of Coffee","1618 Noriega St","San Francisco, CA 94122","United States","http://coffeesf.com/",-122.480919,37.754117
"Howard Street Coffee Roastery Cafe","180 Howard St.","San Francisco, CA 94105","United States","None",-122.393148,37.790794
"Intelligentsia","1850 W. Fulton St.","Chicago, IL 60612","United States","http://www.intelligentsiacoffee.com/",-87.672956,41.886904
"Island Lava Java","75-5799 Ali'i Dr, Suite A1","Kailua-Kona, HI 96740","United States","http://islandlavajavakona.com/",-155.98278,19.738669
"It's A Grind","6272 E. Pacific Coast Highway, Suite E","Long Beach, CA 90803","United States","http://www.itsagrind.com/",-118.106848,33.753346
"Java City","1300 Del Paso Road","Sacramento, CA 95834","United States","http://www.javacity.com/",-121.495268,38.656137
"Java Detour","2121 Second Street, Building C - Suite 105","Davis, CA 95616","United States","http://www.javadetour.com/",-121.736318,38.555208
"Java Jax","1700 Sonoma Blvd.","Vallejo, CA 94590","United States","None",-122.254942,38.101096
"Jeremiah's Pick Coffee","1495 Evans Avenue","San Francisco, CA 94124","United States","http://www.jeremiahspick.com/",-122.386597,37.741856
"Joebella Coffee Roasters","4675 San Anselmo Road","Atascadero, CA 93422","United States","http://joebellacoffee.com/",-120.680897,35.50546
"Klatch Coffee","1848 W. 11ht Street","Upland, CA 91786","United States","http://www.klatchroasting.com/",-117.685873,34.103305
"Kobricks","693 Luis Marin Blvd.","Jersey City, NJ 07310","United States","http://www.kobricks.com/",-74.03905,40.734258
"Kona Coffee & Tea Company","74-5035 Queen Ka'ahumanu Hwy., Suite 5a","Kailua-Kona, HI 96740","United States","http://www.konacoffeeandtea.com/",-155.98017,19.637109
"Kuma Coffee","3401 Thorndyke Ave. W #100","Seattle, WA 98119","United States","http://www.kumacoffee.com/",-122.3321,47.60621
"La Colombe Torrefaction","130 S. 19th St.","Philadelphia, PA 19103","United States","http://www.lacolombe.com/",-75.172137,39.950817
"LaCoppa Coffee","2 Miller Ave","Mill Valley, CA 94941","United States","http://www.lacoppacoffee.com/",-122.548283,37.906191
"Lamill Coffee","1112 Westminster Ave.","Alhambra, CA 91803","United States","http://www.lamillcoffee.com/",-118.155654,34.080871
"Lappert's Coffee","223 Ohio Avenue","Richmond, CA 94804","United States","http://www.lapperts.com/",-122.367629,37.930919
"Lighthouse Coffee Company","510 Lighthouse Ave.","Pacific Grove, CA 93950","United States","http://www.lighthousecoffeecompany.com/",-121.915792,36.620359
"Linea Caffe","3417 18th St.","San Francisco, CA 94110","United States","http://www.lineacaffe.com/",-122.419727,37.761732
"Madcap Coffee","1041 E. Fulton St.","Grand Rapids, MI 49503","United States","http://madcapcoffee.com/",-85.647004,42.962792
"Martha & Brothers","3868 24th Street","San Francisco, CA 94114","United States","http://www.marthabros.com/",-122.428883,37.751688
"Max's","601 Van Ness Avenue","San Francisco, CA 94102","United States","http://www.maxsworld.com/",-122.42044,37.78103
"McLaughlin Coffee Co.","6355 Hollis Street","Emeryville, CA 94605","United States","None",-122.290828,37.844409
"Metric Coffee Co.","2021 W Fulton St., 1 K-101B","Chicago, IL 60612","United States","http://metriccoffee.com/",-87.677285,41.886688
"Metropolis Coffee Company","1039 W. Granville Ave.","Chicago, IL 60660","United States","http://www.metropoliscoffee.com/",-87.65714,41.994514
"Metropolitan","990 Superior Drive","Bensenville, IL 60106","United States","http://www.superiorcoffee.com/",-88.05207,41.950963
"Mokafe","Corso Piave, 199/1","Alba, CN 12051","United States","http://www.mokafe.it/",8.0215,44.713
"Moksha Coffee Roasting","1931 Old Middlefield Way","Mountain View, CA 94043","United States","http://mokshacoffeeroasting.com/",-122.088365,37.414126
"Morning Brew Coffee & Tea","401 Sansome St.","San Francisco, CA 94111","United States","None",-122.401315,37.793987
"Moschetti Espresso","11 Sixth Street","Vallejo, CA 94590","United States","http://www.moschetti.com/",-122.246353,38.096504
"Mountanos Brothers","380 Swift Ave. Suite 13","South San Francisco, CA 94080","United States","http://mountanosbros.com/",-122.391023,37.650422
"Mr. Espresso","696 Third Street","Oakland, CA 94607","United States","http://www.mrespresso.com/",-122.281775,37.799158
"Mukilteo Coffee Roasters","3228 Lake Leo Way, Post Office Box 862","Langley, WA 98260","United States","http://www.mukilteocoffee.com/",-122.521543,48.096206
"Napa Valley Coffee Roasting Company","948 Main St.","Napa, CA 94559","United States","http://www.napavalleycoffee.com/",-122.285036,38.298888
"Noah's New York Bagels","100 Horizon Center Blvd.","Hamilton, NJ 08691","United States","http://www.noahs.com/",-74.649525,40.198347
"North Bay Coffee","21481 8th St. East","Sonoma, CA 95476","United States","http://www.northbaycoffee.com/",-122.439697,38.265297
"Nossa Familia Coffee","1319 NW Johnson St.","Portland, OR 97209","United States","http://www.nossacoffee.com/",-122.684488,45.528696
"Organic Coffee Co., The","1933 Davis Street, Suite 308","San Leandro, CA 94577","United States","http://www.gourmet-coffee.com/home.php?cat=55",-122.181832,37.717632
"Outland Java Company","187 Airport St.","Half Moon Bay, CA 94019","United States","http://www.outlandjava.com/",-122.493628,37.505666
"Pacific Bay Coffee Co.","1495 Newell Ave.","Walnut Creek, CA 94596","United States","http://pacificbaycoffee.com/",-122.061147,37.892606
"Palio Roasting Company","60 Liberty Ship Way","Sausalito, CA 94965","United States","None",-122.493529,37.8632
"Panache","2181 NW Nicolai St.","Portland, OR 97210","United States","http://www.coffeebeanintl.com/",-122.697931,45.541075
"Peaberry's Coffee & Tea","4059 Emery St.","Emeryville, CA 94608","United States","http://www.peaberrys.com/",-122.281391,37.831572
"Peerless","260 Oak Street","Oakland, CA 94607","United States","http://www.peerlesscoffee.com/",-122.267757,37.79319
"Peet's Coffee & Tea","1400 Park Avenue","Emeryville, CA 94608","United States","http://www.peets.com/",-122.286966,37.830988
"Peninsula Coffee Roaster","273 Baldwin Ave.","San Mateo, CA 94401","United States","None",-122.325447,37.567092
"Petaluma Coffee and Tea Company","212 Second St.","Petaluma, CA 94952","United States","http://www.petalumacoffee.com/",-122.636397,38.233024
"Peter James Coffee","1964 Republic Ave.","San Leandro, CA 94577","United States","http://www.peterjamescoffee.com/",-122.171672,37.70434
"Philz Coffee","3101 24th St.","San Francisco, CA 94110","United States","http://www.philzcoffee.com/",-122.414086,37.752506
"Plantation Coffee Roastery","668 Laurel St.","San Carlos, CA 94070","United States","None",-122.260355,37.505584
"Prebica","990 Supreme Drive","Bensenville, IL 60106","United States","http://www.superiorcoffee.com/",-87.952763,41.981601
"Public Domain","9120 NE Alderwood Rd.","Portland, OR 97220","United States","http://www.coffeebeanintl.com/",-122.576396,45.575854
"Quetzal","1234 Polk St.","San Francisco, CA 94109","United States","http://coffeeandcocoa.com/",-122.42014,37.788262
"Revel Coffee Roasters","1306 Central Ave.","Billings, MT 59102","United States","http://revelcoffee.com/",-108.548684,45.769786
"Ritual Coffee Roasters","1026 Valencia St.","San Francisco, CA 94110","United States","http://ritualroasters.com/",-122.42116,37.756463
"RoastCo","1552 Beach St.","Emeryville, CA 94608","United States","http://www.roastco.com/",-122.290967,37.828396
"Rogers Family Company","1933 Davis Street, Suite 308","San Leandro, CA 94577","United States","http://www.gourmet-coffee.com/",-122.181832,37.717632
"Roseline Coffee Roasters","800 SE 10th Ave.","Portland, OR 97214","United States","http://www.roselinecoffee.com/",-122.655673,45.51721
"Royal Coffee","3306 Powell St.","Emeryville, CA 94608","United States","http://www.royalcoffee.com/",-122.311365,37.837095
